"","Clearwater","Clearwater.T","Snake","Snake.T","Columbia","Columbia.T","NFClearwater","NFClearwater.T","Potlatch","Potlatch.T","Tucannon","Tucannon.T","Palouse","Palouse.T","Okanogan","Okanogan.T","Methow","Methow.T","Chelan","Chelan.T","Wenatchee","Wenatchee.T","Crab","Crab.T","Yakima","Yakima.T","WallaWalla","WallaWalla.T","JohnDay","JohnDay.T","Deschutes","Deschutes.T"
"1",2500,0,20000,2.5,135333.33,5.83,1600,6.01,62.2,33,163,1.16,140,0.94,1200,0.6,508,0.84,2460,1.18,2070,0.74,141,1.84,4160,1.28,653,1.31,1840,1.16,8170,4.1
"2",2950,0,19000,2.4,140900,5.7,1600,6.03,62.2,33,162,1.77,122,1.03,1200,0.5,531,0.86,2460,1.22,2070,0.75,139,1.9,3860,1.45,650,1.48,1340,1.8,7830,4.2
"3",3900,0,20600,2.5,142483.33,5.44,1600,6.23,62.2,33,161,2.32,125,1.08,1150,0.5,577,0.93,2460,1.37,2100,0.78,137,2.16,3900,1.54,628,1.58,1100,2.4,7830,4.8
"4",4550,0,22200,3,119004.17,5.18,1604.17,6.28,62.2,33,160,3.78,150,1.8,1300,0.4,611,0.98,2460,1.46,2060,0.8,137,2.3,4090,2.69,610,2.77,1130,4.08,7730,5.5
"5",5050,0,22300,3,109070.83,4.99,1600,6.31,62.2,33,175,6.89,266,6.01,1450,0.4,651,1.28,1870,2.05,3490,0.94,136,3.21,4330,8.04,896,8.32,1520,7.94,7620,6.7
"6",9550,0,23400,3.1,121220.83,4.82,1600,6.31,62.2,33,187,6.47,309,4.34,1490,0.4,761,1.79,1870,2.95,6350,1.2,136,4.47,5730,6.09,2140,6.3,1930,7.41,7790,7
"7",9650,0,25900,3.3,115800,4.73,1600,6.22,62.2,33,218,4.66,883,3.12,1500,0.4,927,1.86,1860,3.07,5500,1.23,138,4.62,11300,4.55,2080,4.69,1930,5.13,7530,6.4
"8",8430,0.5,26600,3.3,122462.5,4.6,1604.17,6.17,62.2,33,248,3.53,1170,2.26,1700,0.4,909,2,2460,3.31,4810,1.31,138,4.94,10300,3.37,1830,3.47,3120,3.78,7140,6.3
"9",7480,1,26900,3.6,126187.5,4.53,1600,6.05,62.2,33,255,3.53,831,2.65,2000,0.4,878,1.79,2470,2.95,4310,1.2,136,4.47,8310,3.91,1570,4.04,3200,3.78,6900,6.2
"10",6740,1.5,25000,3.5,123437.5,4.47,1600,5.99,62.2,33,247,3.53,672,3.12,2050,0.4,873,1.79,2460,2.95,3940,1.2,135,4.47,7340,4.55,1310,4.69,3050,3.78,6710,6.4
"11",6290,1.5,23400,3.7,126716.67,4.4,1604.17,5.9,62.2,33,235,4.06,555,3.12,1950,0.5,869,2.07,2470,3.43,3660,1.35,135,5.1,6760,4.55,1130,4.69,2860,4.41,6720,6.6
"12",6000,2,23800,4.1,125004.17,4.4,1600,5.83,62.2,33,222,4.06,481,3.38,1850,0.5,859,1.86,2450,3.07,3390,1.23,134,4.62,6340,4.9,990,5.06,2690,4.41,6790,6.5
"13",5660,2.5,23100,4.3,130320.83,4.38,1600,5.7,62.2,33,207,4.35,431,3.38,1750,0.5,844,2,2460,3.31,3150,1.31,132,4.94,5980,4.9,868,5.06,2540,4.76,6730,6.8
"14",5320,2.5,23200,4.3,143083.33,4.3,1600,5.68,62.2,33,195,3.78,395,2.87,1700,0.6,827,2.07,2460,3.43,2950,1.35,129,5.1,5660,4.22,782,4.35,2730,4.08,6640,6.7
"15",4900,2,24300,4,144950,4.27,1600,5.76,62.2,33,186,3.78,361,2.65,1650,0.8,813,2.07,2460,3.43,2780,1.35,128,5.1,5390,3.91,706,4.04,2660,4.08,6480,6.5
