"","13340000","13334300","12447200","14103000","13341000"
"1",0,2.5,0.6,4.1,6.01041666666667
"2",0,2.4,0.5,4.2,6.03125
"3",0,2.5,0.5,4.8,6.22708333333333
"4",0,3,0.4,5.5,6.27708333333333
"5",0,3,0.4,6.7,6.31145833333333
"6",0,3.1,0.4,7,6.30520833333333
"7",0,3.3,0.4,6.4,6.221875
"8",0.5,3.3,0.4,6.3,6.16666666666667
"9",1,3.6,0.4,6.2,6.04583333333333
"10",1.5,3.5,0.4,6.4,5.98541666666667
"11",1.5,3.7,0.5,6.6,5.89895833333333
"12",2,4.1,0.5,6.5,5.83229166666667
"13",2.5,4.3,0.5,6.8,5.70416666666667
"14",2.5,4.3,0.6,6.7,5.67916666666667
"15",2,4,0.8,6.5,5.75520833333333
"16",1.5,4.1,0.8,6.7,5.93020833333333
"17",1.5,4,1.3,6.8,5.91875
"18",2,4.2,1.3,7,5.95729166666667
"19",2.5,4.5,1.8,7,5.89166666666667
"20",2.5,4.3,1.5,6.5,5.7
"21",2.5,3.6,1.3,6.5,5.58020833333333
"22",2,3.2,1.2,6.7,5.64166666666667
"23",2,3.8,1.4,6.8,5.75625
"24",2.5,4.4,1.8,7.4,5.82780555555556
"25",3,4.7,2.5,7.9,5.91155555555556
"26",3.5,4.5,2.9,7.7,5.99501388888889
"27",3,4.3,3.1,7.4,5.95833333333333
"28",3,4.5,3,7.5,5.934375
"29",3,4.3,2.8,7.6,5.8
"30",3,4,3,7.3,5.75729166666667
"31",2.5,4,3.1,7,5.60833333333333
"32",2,4,3.2,6.9,5.53020833333333
"33",2,4,3,7.2,5.50833333333333
"34",2.5,4.2,3,7.4,5.51458333333333
"35",3,4.2,3.2,7.5,5.47604166666667
"36",4,4.4,3.3,8,5.55208333333333
"37",4,4.9,3.6,8.6,5.7625
"38",4.5,5.5,3.9,9,5.80208333333333
"39",5,5.8,4.5,8.8,5.82083333333333
"40",4.5,5.8,5.2,8.4,5.66770833333333
"41",5,5.9,4.8,8.7,5.471875
"42",5,5.5,5.2,8.4,5.34895833333333
"43",5,5.6,5.6,8.2,5.37604166666667
"44",5,5.5,5.9,8.1,5.421875
"45",5,5.6,5.8,8.5,5.421875
"46",5,5.4,5.4,8.4,5.340625
"47",4.5,4.9,5.2,7.9,5.30520833333333
"48",3.5,4.5,5.2,7.7,5.32083333333333
"49",3,4.5,4.8,7.7,5.29791666666667
"50",3,4.7,4.3,7.9,5.27083333333333
"51",4,5.1,3.9,8.2,5.19270833333333
"52",4.5,5.1,4.1,8,5.10729166666667
"53",3.5,4.5,4.2,7.3,5.26041666666667
"54",2,4.1,4.4,6.7,5.07083333333333
"55",1,4.2,4.5,7.1,5.22083333333333
"56",1.5,4.7,4.3,7.7,5.1125
"57",3,5.3,4.6,8.1,5.0625
"58",4,5.5,5,8.4,5.03958333333333
"59",3.5,5.4,5,8.2,5.103125
"60",3,4.8,4.9,7.5,5.18333333333333
"61",2,4.5,5,7.9,5.103125
"62",2,4.7,4.8,8.3,5.065625
"63",2,4.6,4.6,7.8,4.978125
"64",1.5,4.7,4.6,7.7,4.92916666666667
"65",2,5.4,5,8.3,5.06354166666667
"66",3,5.9,5.4,8.9,5.17916666666667
"67",3.5,6.2,6,9.1,5.11739130434783
"68",4,6.4,6.6,9.4,5.04791666666667
"69",4.5,6.6,7.1,9.5,5.07708333333333
"70",5,7,7.7,9.9,5.05104166666667
"71",5.5,7.5,8.2,10.3,5.11770833333333
"72",6,8,8.6,10.6,4.990625
"73",6.5,8.2,9.1,10.7,5.04895833333333
"74",6,8.6,9.2,11.1,4.95208333333333
"75",6,8.8,8.4,11,5.021875
"76",6,8.6,8.1,10.8,5.02604166666667
"77",6,8.4,7.4,10.7,4.84895833333333
"78",6,8.5,7.7,10.7,4.75104166666667
"79",6.5,8.4,7.9,10.3,4.734375
"80",6.5,8.6,8.3,10.4,4.83333333333333
"81",6.5,8.6,8.3,10.6,4.771875
"82",6.5,8.6,8,10.7,4.82083333333333
"83",6,8.5,8.2,10.7,4.70520833333333
"84",5.5,7.7,8.1,10.9,4.70104166666667
"85",6.5,8.1,8.1,11.4,4.67291666666667
"86",7.5,9.2,8.3,12.7,4.721875
"87",8,10,8.8,12.6,4.71354166666667
"88",7,9.7,9.4,12.1,4.72083333333333
"89",7,9.9,9.5,12.1,4.703125
"90",7.5,10,9.4,11.7,4.58229166666667
"91",6.5,9.3,9.3,11.1,4.61875
"92",6,8.8,8.8,10.8,4.621875
"93",5.5,8.3,8.3,10.8,4.63125
"94",6,8.5,8.2,10.9,4.60520833333333
"95",5.5,8.2,8.2,11.1,4.59270833333333
"96",6,8.3,8.2,11.1,4.65416666666667
"97",6,8.7,8.4,11.5,4.775
"98",6.5,9.3,8.4,11.8,4.88020833333333
"99",7.5,9.7,8.8,11.8,4.859375
"100",8,10,9.1,11.8,4.88854166666667
"101",8,10.3,9.4,11.4,4.83020833333333
"102",7.5,9.8,9.4,11.2,4.8125
"103",7,9.8,9.1,11.5,4.81354166666667
"104",7,10.4,9,10.8,4.78645833333333
"105",7,10.1,9,11.4,4.81875
"106",6.5,10.1,9.4,12.3,4.89791666666667
"107",7.5,10.8,10,13,4.87916666666667
"108",9,11.5,10.8,13.8,4.89895833333333
"109",9.5,11.7,11.4,13.9,4.87708333333333
"110",9.5,12.1,12,13.9,4.83645833333333
"111",10,12.7,12.5,14.3,4.83854166666667
"112",9.5,12.8,12.7,13.4,4.88645833333333
"113",8,12,12.6,12.6,4.85729166666667
"114",8,11.8,11.8,12,4.86979166666667
"115",8,11.3,11,12.3,4.86875
"116",8,10.9,10.4,12.7,4.89791666666667
"117",8,11.1,10.7,14,4.92604166666667
"118",9,11.7,11.2,15.1,5.04375
"119",9.5,12.3,11.9,14.6,5.09166666666667
"120",9.5,NA,12.3,14.3,5.05625
"121",9.5,12.8,12.3,14.6,4.98229166666667
"122",9.5,13.1,11.9,15.1,5.06979166666667
"123",10,13.2,11.7,15.3,5.11458333333333
"124",10,13.2,12.2,15.2,5.09375
"125",10,13.2,12.5,14.6,5.08854166666667
"126",9.5,12.6,12.3,13.8,5.07916666666667
"127",9.5,12.4,11.8,13.7,5.090625
"128",10,12.5,11.9,14.9,5.115625
"129",10,12.7,12.3,15.7,5.178125
"130",10,13.1,13.1,15.9,5.39895833333333
"131",10,13.4,13.7,15,5.46354166666667
"132",10,13.2,13.6,14.2,5.54375
"133",10,13.2,13.1,14,5.24375
"134",10.5,13,12.6,15,5.24270833333333
"135",10,13,12.5,15.5,5.10520833333333
"136",9.5,12.7,13,15.1,4.95416666666667
"137",9.5,13,13.9,15.2,5.04895833333333
"138",10,13.3,14.4,16.3,5.15625
"139",10.5,13.9,14.2,16,5.309375
"140",11.5,14.3,14.5,15.4,5.25625
"141",11.5,14.4,14.9,15.8,5.29895833333333
"142",12,14.4,15.5,16.1,5.24270833333333
"143",12,14.8,15.6,16.2,5.290625
"144",12,15.2,15.7,16.6,5.21354166666667
"145",12,NA,15.6,16.8,5.26458333333333
"146",11.5,NA,15,16.9,5.21354166666667
"147",12,NA,15.7,17.4,5.309375
"148",12,15,15.6,18.2,5.42708333333333
"149",13,15.7,16.4,18.9,5.43229166666667
"150",13.5,16.3,16.9,18.9,5.37708333333333
"151",13.5,16.5,17,18.4,5.38645833333333
"152",14,16.4,17.4,17.8,5.303125
"153",13.5,16.2,17.4,17.1,5.30208333333333
"154",12.5,15.8,17,16.8,5.28645833333333
"155",13,15.8,16.7,17.1,5.21770833333333
"156",14.5,16.4,17.2,18.6,5.38020833333333
"157",16,17.4,18.1,19.5,5.38541666666667
"158",17,18.3,20,20,5.41770833333333
"159",18,19.1,21.6,20.6,5.271875
"160",18.5,19.9,22.3,20.4,5.28541666666667
"161",19,20,22.7,19,5.70416666666667
"162",18.5,19.9,22.8,18.7,5.75729166666667
"163",19,19.9,21.9,18.3,5.771875
"164",18.5,19.2,20.8,18.1,5.72395833333333
"165",18,18.8,20.2,17.9,5.790625
"166",18,18.9,20.1,18.1,5.81354166666667
"167",18,19.4,20.8,18.4,5.79270833333333
"168",19.5,20,21.6,18.5,5.36041666666667
"169",19.5,20,22,18.9,5.29270833333333
