"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",2500,20000,163,140,1200,508,2460,2070,141,4160,653,1840,8170
"2",2950,19000,162,122,1200,531,2460,2070,139,3860,650,1340,7830
"3",3900,20600,161,125,1150,577,2460,2100,137,3900,628,1100,7830
"4",4550,22200,160,150,1300,611,2460,2060,137,4090,610,1130,7730
"5",5050,22300,175,266,1450,651,1870,3490,136,4330,896,1520,7620
"6",9550,23400,187,309,1490,761,1870,6350,136,5730,2140,1930,7790
"7",9650,25900,218,883,1500,927,1860,5500,138,11300,2080,1930,7530
"8",8430,26600,248,1170,1700,909,2460,4810,138,10300,1830,3120,7140
"9",7480,26900,255,831,2000,878,2470,4310,136,8310,1570,3200,6900
"10",6740,25000,247,672,2050,873,2460,3940,135,7340,1310,3050,6710
"11",6290,23400,235,555,1950,869,2470,3660,135,6760,1130,2860,6720
"12",6000,23800,222,481,1850,859,2450,3390,134,6340,990,2690,6790
"13",5660,23100,207,431,1750,844,2460,3150,132,5980,868,2540,6730
"14",5320,23200,195,395,1700,827,2460,2950,129,5660,782,2730,6640
"15",4900,24300,186,361,1650,813,2460,2780,128,5390,706,2660,6480
"16",4710,24900,181,337,1610,809,2460,2700,128,5180,682,2430,6500
"17",5390,23400,180,325,1570,800,2460,2590,131,5050,720,2190,6890
"18",7220,25500,219,441,1570,798,2460,2670,150,5060,1200,2240,8950
"19",9050,28500,251,2330,1620,807,2460,2930,154,6680,2010,2410,10100
"20",8580,31100,266,2180,1620,790,2460,2790,149,7180,1820,3980,9270
"21",7590,29400,265,1390,1620,756,2460,2570,149,6840,1560,3880,8750
"22",6640,27100,255,1040,1580,736,2460,2440,146,6480,1320,3290,8300
"23",6210,28100,241,832,1510,739,2460,2380,144,6200,1150,2770,7860
"24",6340,26700,231,705,1450,729,2460,3190,142,6010,1030,2540,7640
"25",7630,26300,230,650,1570,752,2460,4970,140,6180,1010,2460,7500
"26",8540,25100,231,668,1750,824,2460,5180,137,7270,1010,2360,7360
"27",8790,26500,235,750,2740,915,2460,5010,171,7610,1010,2400,7250
"28",9080,28200,235,758,2940,995,2460,4820,201,7520,954,2510,6960
"29",9020,29800,226,755,2880,1020,2460,4540,194,7280,873,2670,6630
"30",8660,30000,215,722,2800,1030,2460,4230,172,6970,800,2680,6530
"31",8230,28500,205,670,2680,1040,2460,3950,161,6640,740,2590,6460
"32",7820,29600,199,612,2630,1050,2460,3710,152,6350,693,2470,6420
